name,year,buy_price,sell_price,km_driven,fuel,seller_type,transmission,owner
Chevrolet Aveo U-VA 1.2 LS,2010,118187.565,140000,60000,Petrol,Individual,Manual,First Owner
Maruti Ciaz Zeta BSIV,2019,780323.0539,925000,11000,Petrol,Individual,Manual,First Owner
Tata Hexa XM,2017,778037.1151,969999,30000,Diesel,Individual,Manual,First Owner
Hyundai Santro Xing GL PLUS CNG,2007,80833.22932,90000,80000,CNG,Individual,Manual,Third Owner
Hyundai Santro GLS I - Euro I,2001,47565.56186,55000,60000,Petrol,Individual,Manual,Third Owner
Hyundai Verna CRDi,2007,132053.8618,155000,100000,Diesel,Individual,Manual,Fourth & Above Owner
Mahindra Thar CRDe ABS,2019,724192.0475,900000,15000,Diesel,Individual,Manual,First Owner
Maruti Alto K10 2010-2014 VXI,2011,109294.1187,135000,90000,Petrol,Individual,Manual,First Owner
Maruti 800 AC,2012,154052.3665,180000,120000,Petrol,Individual,Manual,First Owner
Hyundai Verna 1.6 SX,2013,433787.7304,495000,100000,Diesel,Individual,Manual,Second Owner
Toyota Innova 2.5 V Diesel 8-seater,2009,349180.3842,400000,138000,Diesel,Individual,Manual,Third Owner
Hyundai Verna CRDi,2008,218071.2604,250000,110000,Diesel,Individual,Manual,Second Owner
Maruti Alto K10 LXI,2015,117495.779,138000,120000,Petrol,Individual,Manual,Fourth & Above Owner
Honda City 1.5 V AT,2011,269437.7699,311000,70000,Petrol,Individual,Automatic,Second Owner
Maruti Alto 800 VXI,2015,160360.1881,190000,70000,Petrol,Individual,Manual,First Owner
Mahindra Bolero SLX,2011,278190.4386,311000,140000,Diesel,Individual,Manual,First Owner
Maruti Ritz LXI,2009,243822.5873,300000,15000,Petrol,Individual,Manual,First Owner
Honda Jazz VX,2018,514111.2077,600000,20000,Petrol,Individual,Manual,First Owner
Mahindra Scorpio SLE BSIII,2009,461480.3057,550000,100000,Diesel,Individual,Manual,First Owner
Skoda Rapid 1.6 MPI AT Elegance Plus,2015,498105.1268,600000,70000,Petrol,Individual,Automatic,First Owner
Maruti Alto 800 VXI,2018,162640.9838,195000,5000,Petrol,Individual,Manual,First Owner
Tata Nano LX,2013,47425.35581,58000,27974,Petrol,Individual,Manual,First Owner
Maruti Alto 800 VXI,2018,162179.1707,183000,40000,Petrol,Individual,Manual,First Owner
Maruti Zen Estilo 1.1 VXI BSIII,2007,78122.00504,95000,80000,Petrol,Individual,Manual,First Owner
Maruti Wagon R LX Minor,2013,222331.7459,250000,38000,Petrol,Individual,Manual,First Owner
Maruti Wagon R LX Minor,2013,212310.9213,250000,38000,Petrol,Individual,Manual,First Owner
Tata Zest Revotron 1.2 XT,2014,348931.2227,400000,35000,Petrol,Individual,Manual,First Owner
Hyundai Verna 1.6 SX CRDi (O),2012,354085.2366,409999,60000,Diesel,Individual,Manual,Second Owner
Skoda Octavia Classic 1.9 TDI MT,2004,96150.05822,120000,120000,Diesel,Individual,Manual,Second Owner
Maruti Swift AMT VXI,2018,501316.2629,600000,18000,Petrol,Individual,Automatic,First Owner
Honda Amaze SX i-VTEC,2016,532821.9431,600000,10000,Petrol,Individual,Manual,First Owner
Mahindra XUV500 W6 2WD,2015,684238.1611,825000,90000,Diesel,Individual,Manual,Third Owner
Toyota Etios GD,2016,518931.7761,625000,80000,Diesel,Individual,Manual,Second Owner
Hyundai Grand i10 Nios Magna CRDi,2020,581362.5796,700000,1400,Diesel,Individual,Manual,First Owner
Chevrolet Beat LS,2011,129610.8409,160000,60000,Petrol,Individual,Manual,First Owner
Maruti Alto LX,2011,98673.49013,114999,60000,Petrol,Individual,Manual,Third Owner
Maruti Wagon R LXI Minor,2009,124416.964,150000,53000,Petrol,Individual,Manual,First Owner
Volkswagen Jetta 1.9 L TDI,2010,217072.4034,250000,100000,Diesel,Dealer,Manual,First Owner
Hyundai Verna 1.6 SX,2012,333039.1157,390000,86000,Diesel,Dealer,Manual,Second Owner
Renault Duster 85PS Diesel RxL,2015,527767.0475,650000,100000,Diesel,Individual,Manual,First Owner
Hyundai Xcent 1.1 CRDi SX Option,2016,512405.6565,600000,30000,Diesel,Individual,Manual,First Owner
Hyundai i20 1.2 Sportz,2011,203047.3152,250000,120000,Petrol,Individual,Manual,First Owner
Hyundai Santro Xing GL Plus LPG,2011,189734.732,229999,60000,LPG,Individual,Manual,Second Owner
Maruti Ritz LDi,2016,262610.5214,299000,50000,Diesel,Individual,Manual,Second Owner
Chevrolet Cruze LTZ,2010,296800.4523,330000,124000,Diesel,Individual,Manual,Second Owner
Hyundai Accent Executive,2012,147415.5302,180000,100000,Petrol,Individual,Manual,Third Owner
Hyundai Grand i10 1.2 Kappa Asta,2017,381370.1019,475000,42000,Petrol,Individual,Manual,First Owner
Hyundai Grand i10 CRDi Sportz,2015,269156.6607,325000,100000,Diesel,Individual,Manual,First Owner
Honda City i VTEC V,2016,526686.9714,639000,28205,Petrol,Dealer,Manual,First Owner
Maruti Celerio VXI AT,2017,371269.1107,415000,32670,Petrol,Dealer,Automatic,First Owner
Hyundai Creta 1.6 CRDi AT SX Plus,2016,1017064.041,1199000,30093,Diesel,Dealer,Automatic,First Owner
Maruti Ertiga VXI CNG,2013,456557.5739,525000,56228,CNG,Dealer,Manual,First Owner
Hyundai Verna 1.6 SX VTVT,2013,371079.7538,425000,59319,Petrol,Dealer,Manual,First Owner
Maruti Vitara Brezza VDi,2016,604953.2448,699000,39503,Diesel,Dealer,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,2013,285918.1518,325000,35299,Petrol,Dealer,Manual,First Owner
Toyota Etios V,2011,229202.2126,275000,51687,Petrol,Dealer,Manual,First Owner
Volkswagen Vento Petrol Highline AT,2011,233968.6638,269000,76259,Petrol,Dealer,Automatic,First Owner
Volkswagen Polo Diesel Highline 1.2L,2013,345382.7758,399000,44049,Diesel,Dealer,Manual,First Owner
Mahindra KUV 100 mFALCON D75 K8,2017,397299.2248,475000,45087,Diesel,Dealer,Manual,First Owner
Toyota Etios V,2011,221483.455,249000,41125,Petrol,Dealer,Manual,First Owner
Audi A4 New  2.0 TDI Multitronic,2014,1273491.618,1549000,42215,Diesel,Dealer,Automatic,First Owner
Volkswagen Polo Petrol Highline 1.2L,2011,210230.5556,254999,54206,Petrol,Dealer,Manual,First Owner
Skoda Rapid 1.6 MPI Active,2012,217133.4718,269000,52547,Petrol,Dealer,Manual,First Owner
Maruti Ertiga ZDI,2014,541002.7925,665000,59110,Diesel,Dealer,Manual,First Owner
Maruti Wagon R Stingray LXI,2014,261327.0633,299000,54565,Petrol,Dealer,Manual,First Owner
Hyundai i20 Asta,2010,219587.0891,265000,47564,Petrol,Dealer,Manual,Second Owner
Volkswagen Polo Petrol Highline 1.2L,2010,179931.0076,211000,45143,Petrol,Dealer,Manual,Second Owner
Skoda Superb 1.8 TSI,2013,495830.0017,599000,61624,Petrol,Dealer,Automatic,Second Owner
Tata Indigo LS,2007,44665.19214,55000,195000,Diesel,Individual,Manual,Third Owner
Hyundai Verna 1.6 SX CRDi (O),2014,483567.1968,550000,50000,Diesel,Individual,Manual,First Owner
Land Rover Discovery Sport TD4 HSE 7S,2018,3585481.171,4000000,68000,Diesel,Individual,Automatic,First Owner
Tata Sumo GX TC 8 Str,2010,189394.3293,220000,120000,Diesel,Individual,Manual,Second Owner
Maruti Swift VXI,2019,411345.3573,500000,20000,Petrol,Individual,Manual,First Owner
Maruti Alto LXi,2010,119613.433,140000,30000,Petrol,Individual,Manual,First Owner
Maruti Swift VDI,2013,270732.2026,325000,60000,Diesel,Individual,Manual,First Owner
Hyundai i20 Magna,2010,170566.325,210000,90000,Petrol,Individual,Manual,Third Owner
Maruti Alto LXi,2008,90046.88228,110000,90000,Petrol,Individual,Manual,Second Owner
Hyundai Verna CRDi 1.6 SX Option,2019,1045196.611,1200000,25000,Diesel,Individual,Manual,First Owner
Maruti Alto 800 VXI,2017,206818.4194,229999,40000,Petrol,Individual,Manual,First Owner
Maruti SX4 Vxi BSIV,2012,185730.0511,225000,110000,Petrol,Individual,Manual,Second Owner
Maruti Alto 800 LXI,2006,134832.5879,165000,132000,Petrol,Individual,Manual,First Owner
Tata Tiago XZA AMT,2018,442073.7414,525000,10980,Petrol,Dealer,Automatic,First Owner
Hyundai EON Era Plus,2018,287540.8218,325000,20629,Petrol,Dealer,Manual,First Owner
Toyota Innova Crysta 2.4 VX MT BSIV,2018,1304924.939,1500000,50000,Diesel,Individual,Manual,First Owner
Hyundai Grand i10 AT Asta,2015,339009.3174,400000,30000,Petrol,Individual,Automatic,First Owner
Maruti Ciaz VXi,2015,469504.7904,550000,69782,Petrol,Dealer,Manual,First Owner
Maruti 800 Std,2003,88119.92282,98000,54000,Petrol,Individual,Manual,First Owner
Mahindra XUV500 W8 4WD,2013,723738.8841,900000,63654,Diesel,Dealer,Manual,First Owner
Renault Lodgy 85PS RxL,2017,600431.0429,700000,60000,Diesel,Individual,Manual,First Owner
Mahindra Scorpio S6 Plus 7 Seater,2015,764892.4491,890000,52000,Diesel,Dealer,Manual,First Owner
Maruti Swift LDI BSIV,2015,432816.1057,490000,59385,Diesel,Dealer,Manual,First Owner
Hyundai i20 2015-2017 Magna 1.2,2015,459219.7553,525000,70378,Petrol,Dealer,Manual,First Owner
Maruti Wagon R LXI BS IV,2013,276188.7532,330000,55425,Petrol,Dealer,Manual,First Owner
Mahindra Bolero 2011-2019 SLX 2WD BSIII,2013,447006.8495,550000,78413,Diesel,Dealer,Manual,Second Owner
Mahindra Bolero Power Plus SLX,2018,689146.4488,790000,40890,Diesel,Dealer,Manual,First Owner
Honda Brio S MT,2015,310368.0246,350000,34823,Petrol,Dealer,Manual,Second Owner
Toyota Innova Crysta 2.8 ZX AT BSIV,2017,1418765.638,1700000,75000,Diesel,Individual,Automatic,First Owner
Maruti Ciaz VDI SHVS,2017,659311.5378,750000,55545,Diesel,Dealer,Manual,First Owner
Honda Amaze EX i-Dtech,2014,368220.9092,409999,56541,Diesel,Dealer,Manual,First Owner
Hyundai EON Magna Plus,2016,182754.2523,220000,43700,Petrol,Individual,Manual,First Owner
Tata Indica GLS BS IV,2009,57179.6107,68000,120000,Petrol,Individual,Manual,Second Owner
Hyundai EON Era Plus,2017,235176.3078,290000,20000,Petrol,Individual,Manual,First Owner
Honda City i DTec SV,2014,535475.2239,600000,27483,Diesel,Dealer,Manual,First Owner
Maruti Swift LXI,2019,405092.6826,470000,8000,Petrol,Individual,Manual,First Owner
Hyundai i10 Sportz 1.2,2008,120113.4805,150000,30000,Petrol,Individual,Manual,First Owner
Maruti Alto 800 LXI,2014,160860.8256,180000,56207,Petrol,Dealer,Manual,Second Owner
Maruti Zen LXI,2006,70650.99648,80000,70000,Petrol,Individual,Manual,First Owner
Honda WR-V i-VTEC VX,2018,755358.5242,875000,1440,Petrol,Individual,Manual,First Owner
Maruti Alto 800 LXI,2019,241653.2235,300000,50000,Petrol,Individual,Manual,First Owner
Toyota Fortuner 2.8 2WD AT BSIV,2017,2283856.474,2800000,20000,Diesel,Individual,Automatic,First Owner
Toyota Innova Crysta 2.4 ZX MT,2017,1159498.394,1330000,91195,Diesel,Dealer,Manual,First Owner
Volkswagen Polo 1.5 TDI Trendline,2011,183484.5773,220000,63657,Diesel,Dealer,Manual,First Owner
Mahindra Verito Vibe 1.5 dCi D4,2013,216751.2616,250000,60000,Diesel,Individual,Manual,First Owner
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,768367.5612,919999,75000,Diesel,Dealer,Manual,First Owner
Volkswagen Vento Magnific 1.6 Highline,2013,314766.1503,380000,97248,Petrol,Dealer,Manual,First Owner
Maruti Swift VDI,2012,399830.4405,450000,46000,Diesel,Individual,Manual,First Owner
Hyundai Verna 1.6 VTVT AT S Option,2016,667071.5411,770000,10000,Petrol,Individual,Automatic,First Owner
Maruti Swift Dzire LDI,2018,441031.1339,550000,80000,Diesel,Individual,Manual,First Owner
Tata New Safari DICOR 2.2 GX 4x2,2011,273927.5948,320000,100000,Diesel,Individual,Manual,Second Owner
Maruti SX4 Vxi BSIV,2013,351673.7847,400000,35000,Petrol,Individual,Manual,First Owner
Maruti Celerio VXI AT,2017,391523.7591,450000,50000,Petrol,Individual,Automatic,First Owner
Maruti SX4 ZDI,2011,193346.8216,220000,90000,Diesel,Individual,Manual,Third Owner
Mahindra XUV500 W8 2WD,2012,330046.1594,400000,150000,Diesel,Individual,Manual,Second Owner
Hyundai Verna 1.6 SX VTVT (O),2013,454146.4595,530000,89000,Petrol,Individual,Manual,Second Owner
Maruti Swift Dzire VDI,2014,334514.4661,390000,60000,Diesel,Individual,Manual,Second Owner
Fiat Grande Punto 1.3 Dynamic (Diesel),2012,155303.855,185000,100000,Diesel,Individual,Manual,Second Owner
Maruti SX4 Vxi BSIV,2012,252860.102,300000,100000,Petrol,Individual,Manual,Second Owner
Maruti Swift VDI BSIV,2014,468782.5867,575000,90000,Diesel,Individual,Manual,Second Owner
Maruti Wagon R Stingray VXI,2014,254768.4145,300000,75000,Petrol,Individual,Manual,First Owner
Toyota Etios Liva 1.4 VD,2017,342855.3581,425000,36000,Diesel,Dealer,Manual,First Owner
Hyundai Xcent 1.2 Kappa SX,2016,294758.4166,350000,12000,Petrol,Individual,Manual,First Owner
Honda Amaze VX O iDTEC,2017,460190.8291,550000,12997,Diesel,Dealer,Manual,First Owner
Maruti Ciaz 1.4 AT Zeta,2017,414317.5875,500000,40000,Petrol,Individual,Automatic,First Owner
Mahindra Scorpio S4 4WD,2015,528970.3816,600000,60000,Diesel,Individual,Manual,First Owner
Mahindra Quanto C8,2013,245649.8079,300000,25000,Diesel,Individual,Manual,Second Owner
Hyundai Verna CRDi 1.6 SX Option,2018,987284.962,1150000,26430,Diesel,Dealer,Manual,First Owner
Maruti Swift 1.3 VXI ABS,2015,409470.2928,475000,24600,Petrol,Dealer,Manual,First Owner
Maruti Wagon R LXI,2011,208019.2203,260000,28481,Petrol,Dealer,Manual,First Owner
Ford Ecosport 1.0 Ecoboost Titanium Optional,2013,313372.85,350000,100000,Petrol,Individual,Manual,First Owner
Mahindra XUV500 W8 2WD,2013,622745.9117,750000,41988,Diesel,Dealer,Manual,First Owner
Maruti Wagon R LXI,2009,160104.9629,180000,30375,Petrol,Dealer,Manual,First Owner
Renault KWID Climber 1.0 AMT BSIV,2017,305115.1903,350000,7658,Petrol,Dealer,Automatic,First Owner
Maruti Swift Dzire VDI,2017,518299.8485,611000,34400,Diesel,Dealer,Manual,First Owner
Renault KWID RXL BSIV,2017,273789.3713,325000,18500,Petrol,Dealer,Manual,First Owner
Hyundai EON 1.0 Era Plus,2012,186292.1416,225000,48000,Petrol,Dealer,Manual,First Owner
Maruti Wagon R AMT VXI,2014,261015.9463,300000,28942,Petrol,Dealer,Automatic,First Owner
Mahindra Bolero Power Plus SLX,2017,345112.2155,400000,50000,Diesel,Individual,Manual,Second Owner
Mahindra XUV500 W8 2WD,2012,597096.5197,711000,53600,Diesel,Dealer,Manual,First Owner
Toyota Innova 2.5 G (Diesel) 8 Seater,2015,694840.52,851000,53652,Diesel,Dealer,Manual,First Owner
Maruti Ertiga VXI,2014,445073.3672,500000,25000,Petrol,Individual,Manual,First Owner
Toyota Innova 2.5 G4 Diesel 8-seater,2007,211856.4948,250000,80000,Diesel,Individual,Manual,Second Owner
Maruti Alto 800 VXI,2017,129654.0786,150000,50000,Petrol,Individual,Manual,First Owner
Mahindra Scorpio 1.99 S10,2016,530562.6193,610000,15000,Diesel,Individual,Manual,Second Owner
Mahindra KUV 100 G80 K2,2018,379965.4232,450000,5000,Petrol,Individual,Manual,First Owner
Hyundai i20 1.4 Asta Option,2017,607907.8283,744000,106000,Diesel,Individual,Manual,First Owner
Chevrolet Spark 1.0,2008,103523.1543,120000,100000,Petrol,Individual,Manual,Third Owner
Renault KWID RXL,2016,179989.7119,220000,60000,Petrol,Individual,Manual,Third Owner
Maruti Ertiga ZDI,2012,423908.3283,480000,120000,Diesel,Individual,Manual,Fourth & Above Owner
Maruti Celerio ZXI Optional AMT BSIV,2017,328901.9926,370000,82000,Petrol,Individual,Automatic,First Owner
Fiat Palio D 1.9 EL PS,2003,46058.61169,55000,35000,Diesel,Individual,Manual,Second Owner
Hyundai EON Magna Plus,2013,109664.6172,125000,205000,Petrol,Individual,Manual,First Owner
Hyundai Verna 1.6 CRDI,2011,232137.0178,260000,125000,Diesel,Individual,Manual,Third Owner
Fiat Linea Classic 1.3 Multijet,2015,307468.9125,350000,130000,Diesel,Individual,Manual,First Owner
Maruti Alto 800 CNG LXI,2012,147411.6756,170000,97000,CNG,Individual,Manual,Second Owner
Hyundai Grand i10 Sportz,2015,311213.8481,350000,90000,Petrol,Individual,Manual,Second Owner
Maruti Swift Dzire VXi,2009,213649.4324,250000,60000,Petrol,Individual,Manual,Third Owner
Tata Indigo CR4,2013,150622.3234,170000,60000,Diesel,Individual,Manual,First Owner
Mahindra Scorpio S11 BSIV,2018,1059848.382,1300000,35000,Diesel,Individual,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,454790.7789,550000,25000,Petrol,Individual,Manual,First Owner
Honda Brio 1.2 S MT,2017,348681.6863,400000,15000,Petrol,Individual,Manual,First Owner
Tata Nano Lx,2011,97836.65116,120000,20000,Petrol,Individual,Manual,First Owner
Tata Nano Lx,2011,104495.5803,120000,20000,Petrol,Individual,Manual,First Owner
Ford Figo Petrol Titanium,2010,244958.5015,275000,70000,Petrol,Individual,Manual,First Owner
Tata Zest Revotron 1.2T XE,2016,237573.8424,285000,90000,Petrol,Individual,Manual,First Owner
Hyundai Creta 1.4 CRDi Base,2016,797888.7584,900000,80000,Diesel,Individual,Manual,First Owner
Mercedes-Benz M-Class ML 350 CDI,2014,2141824.568,2500000,79500,Diesel,Individual,Automatic,Second Owner
Hyundai Verna 1.6 SX CRDi (O),2013,526933.8334,620000,70000,Diesel,Individual,Manual,Second Owner
Toyota Innova Crysta 2.4 GX MT 8S BSIV,2018,1489017.7,1700000,5000,Diesel,Individual,Manual,First Owner
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2018,569775.2672,650000,15000,Petrol,Individual,Manual,First Owner
Maruti Ertiga VXI,2014,432724.0702,500000,35000,Petrol,Individual,Manual,First Owner
Tata New Safari DICOR 2.2 EX 4x4,2009,205667.391,250000,120000,Diesel,Individual,Manual,Second Owner
Mahindra Marazzo M4,2018,808377.7122,950000,15000,Diesel,Individual,Manual,Second Owner
Toyota Etios Cross 1.2L G,2015,264411.8104,320000,60000,Petrol,Individual,Manual,First Owner
Renault Duster 110PS Diesel RxZ,2013,371634.8548,450000,120000,Diesel,Individual,Manual,First Owner
Mahindra KUV 100 mFALCON D75 K8 AW,2016,300275.997,350000,90000,Diesel,Individual,Manual,First Owner
Maruti Swift Dzire VXI,2015,321323.4385,400000,90000,Petrol,Individual,Manual,First Owner
Maruti Omni MPI STD BSIV,2018,172321.3751,200000,10000,Petrol,Individual,Manual,First Owner
Hyundai i20 Asta 1.4 CRDi (Diesel),2009,204420.2452,250000,72000,Diesel,Individual,Manual,Second Owner
Toyota Innova 2.0 GX 8 STR BSIV,2011,447344.421,550000,197000,Petrol,Individual,Manual,Second Owner
Maruti Zen LXI,1999,74092.83072,85000,70000,Petrol,Individual,Manual,Second Owner
Hyundai Santro LP zipPlus,2001,46682.49885,52000,50000,Petrol,Individual,Manual,Third Owner
Tata Hexa XTA,2017,983158.7614,1200000,50000,Diesel,Individual,Automatic,First Owner
Hyundai Verna 1.6 SX VTVT AT,2011,371075.4415,450000,60000,Petrol,Individual,Automatic,Third Owner
Maruti Swift Dzire VXI 1.2 BS IV,2018,536594.3515,615000,40000,Petrol,Individual,Manual,First Owner
Maruti SX4 ZDI Leather,2012,349764.0235,400000,60000,Diesel,Individual,Manual,Second Owner
Tata Nano LX,2013,53485.75323,60000,40000,Petrol,Individual,Manual,First Owner
Maruti Ignis 1.2 Alpha BSIV,2017,435005.2851,500000,9161,Petrol,Individual,Manual,First Owner
Honda Mobilio V i VTEC,2015,499269.8918,600000,45000,Petrol,Individual,Manual,First Owner
Hyundai Getz 1.3 GVS,2010,97648.95331,110000,110000,Petrol,Individual,Manual,First Owner
Hyundai Santro Xing GL Plus,2013,140259.0101,175000,80000,Petrol,Individual,Manual,First Owner
Ford Fiesta Titanium 1.5 TDCi,2011,284093.1402,325000,100000,Diesel,Individual,Manual,Second Owner
Maruti Swift Dzire LDI,2017,355969.346,425000,90000,Diesel,Individual,Manual,First Owner
Hyundai Accent GLE CNG,2009,141027.6345,160000,70000,CNG,Individual,Manual,Third Owner
Maruti Zen Estilo LXI BSIII,2007,88247.73902,100000,80000,Petrol,Individual,Manual,Third Owner
Maruti Swift Dzire LDI,2014,347430.4136,390000,110000,Diesel,Individual,Manual,Second Owner
Hyundai i20 1.2 Spotz,2017,353842.2146,400000,50000,Petrol,Individual,Manual,First Owner
Tata Tigor 1.2 Revotron XM,2018,443723.3645,509999,5000,Petrol,Individual,Manual,First Owner
Hyundai i10 Magna 1.1,2008,130375.906,150000,90000,Petrol,Individual,Manual,Third Owner
Hyundai Santro Xing GLS,2009,98833.12576,110000,120000,Petrol,Individual,Manual,First Owner
Nissan Sunny Diesel XV,2013,389698.5162,450000,80000,Diesel,Individual,Manual,First Owner
Hyundai i20 1.2 Spotz,2017,322248.1306,400000,38000,Petrol,Individual,Manual,Second Owner
Hyundai Santro Xing GLS,2009,115236.0817,140000,120000,Petrol,Individual,Manual,First Owner
Tata Indigo CR4,2011,105271.5221,130000,90000,Diesel,Individual,Manual,First Owner
Maruti Alto 800 LXI,2017,140928.8793,160000,50000,Petrol,Individual,Manual,First Owner
Maruti Alto 800 LXI,2016,131292.6104,150000,60000,Petrol,Individual,Manual,First Owner
Mahindra XUV500 W8 2WD,2013,421075.7097,500000,100000,Diesel,Individual,Manual,Second Owner
Tata Nano Std,2011,34999.04639,40000,19000,Petrol,Individual,Manual,First Owner
Chevrolet Tavera LT L1 7 Seats BSIII,2006,125684.4625,140000,200000,Diesel,Individual,Manual,Third Owner
Mahindra Verito 1.5 D2 BSIV,2015,201627.1086,227000,70000,Diesel,Individual,Manual,Second Owner
Maruti Swift VDI,2011,241622.8427,285000,50000,Diesel,Individual,Manual,Second Owner
Maruti Alto LX,2012,127420.8342,155000,19077,Petrol,Individual,Manual,Second Owner
Hyundai EON D Lite,2016,173925.5728,210000,30000,Petrol,Individual,Manual,First Owner
Maruti Alto LXi,2009,115501.8357,140000,80000,Petrol,Individual,Manual,Second Owner
Toyota Innova 2.5 GX (Diesel) 7 Seater,2015,799222.6801,940000,128000,Diesel,Individual,Manual,First Owner
Nissan Terrano XV Premium 110 PS,2013,622762.9566,750000,80000,Diesel,Individual,Manual,First Owner
Maruti Baleno Alpha 1.3,2016,523396.1294,610000,100000,Diesel,Individual,Manual,First Owner
Nissan Sunny XV D Premium Leather,2015,366548.2552,450000,50000,Diesel,Individual,Manual,First Owner
Toyota Etios Liva GD,2012,353917.0452,409999,56000,Diesel,Individual,Manual,First Owner
Hyundai EON 1.0 Era Plus,2018,81588.40609,100000,21302,Petrol,Individual,Manual,First Owner
Renault KWID 1.0 RXT Optional,2018,246410.0199,300000,10500,Petrol,Individual,Manual,First Owner
Mahindra Bolero 2011-2019 SLX,2013,320822.5877,400000,107000,Diesel,Individual,Manual,First Owner
Hyundai i10 Sportz 1.2,2010,188617.3691,210000,60000,Petrol,Individual,Manual,Second Owner
Hyundai Santro Xing XG eRLX Euro III,2006,79325.55117,90000,120000,Petrol,Individual,Manual,Second Owner
Maruti Wagon R LXI BS IV,2010,193877.2493,222000,70000,Petrol,Individual,Manual,First Owner
Maruti Alto 800 LXI,2015,204187.3773,240000,50000,Petrol,Individual,Manual,Second Owner
Toyota Etios Liva GD,2013,393126.113,450000,70000,Diesel,Individual,Manual,Second Owner
Renault Duster 85PS Diesel RxL,2013,376845.2439,450000,1000,Diesel,Dealer,Manual,Second Owner
Mercedes-Benz C-Class Progressive C 220d,2018,3200342.549,3800000,10000,Diesel,Dealer,Automatic,First Owner
Audi A4 3.0 TDI Quattro,2013,1312851.397,1580000,86000,Diesel,Dealer,Automatic,First Owner
BMW X5 xDrive 30d xLine,2019,3984682.67,4950000,30000,Diesel,Dealer,Automatic,First Owner
Hyundai Creta 1.6 CRDi SX,2016,455207.4138,535000,52600,Diesel,Individual,Manual,First Owner
Maruti SX4 Vxi BSIV,2012,181440.6071,225000,110000,Petrol,Individual,Manual,Second Owner
Hyundai Grand i10 1.2 Kappa Magna AT,2017,490209.8104,550000,19890,Petrol,Dealer,Automatic,First Owner
Maruti Swift ZXI BSIV,2016,578808.4148,670000,7104,Petrol,Trustmark Dealer,Manual,First Owner
Maruti Ertiga VXI,2015,556013.1291,625000,11918,Petrol,Trustmark Dealer,Manual,First Owner
Hyundai Grand i10 Magna AT,2017,416754.4854,520000,10510,Petrol,Dealer,Automatic,First Owner
Chevrolet Beat LT Option,2016,208285.6463,239000,41000,Petrol,Dealer,Manual,First Owner
Toyota Fortuner 4x2 AT,2017,2251254.39,2600000,47162,Diesel,Trustmark Dealer,Automatic,First Owner
Maruti S-Cross Zeta DDiS 200 SH,2015,639199.6324,750000,45974,Diesel,Trustmark Dealer,Manual,First Owner
Hyundai i10 Magna,2012,202109.8674,229999,49824,Petrol,Dealer,Manual,First Owner
Audi A6 2.0 TDI Premium Plus,2013,1106177.738,1300000,58500,Diesel,Dealer,Automatic,First Owner
Hyundai Santro GS,2005,70634.33148,80000,56580,Petrol,Dealer,Manual,First Owner
Skoda Laura Ambiente 2.0 TDI CR MT,2012,317633.3081,385000,52000,Diesel,Dealer,Manual,First Owner
Hyundai Verna 1.6 VTVT SX,2015,636708.4131,760000,55340,Petrol,Trustmark Dealer,Manual,First Owner
Maruti Swift Dzire VDI,2017,524498.0096,600000,46507,Diesel,Trustmark Dealer,Manual,First Owner
Renault Duster 85PS Diesel RxL,2013,384874.8089,450000,1000,Diesel,Dealer,Manual,Second Owner
Mercedes-Benz C-Class Progressive C 220d,2018,3412927.993,3800000,10000,Diesel,Dealer,Automatic,First Owner
Audi A4 3.0 TDI Quattro,2013,1301025.58,1580000,86000,Diesel,Dealer,Automatic,First Owner
BMW X5 xDrive 30d xLine,2019,4216930.432,4950000,30000,Diesel,Dealer,Automatic,First Owner
Hyundai Creta 1.6 CRDi SX,2016,467158.9627,535000,52600,Diesel,Individual,Manual,First Owner
Maruti SX4 Vxi BSIV,2012,180883.2246,225000,110000,Petrol,Individual,Manual,Second Owner
Hyundai Grand i10 1.2 Kappa Magna AT,2017,462942.7701,550000,19890,Petrol,Dealer,Automatic,First Owner
Maruti Swift ZXI BSIV,2016,584647.226,670000,7104,Petrol,Trustmark Dealer,Manual,First Owner
Maruti Ertiga VXI,2015,549825.9013,625000,11918,Petrol,Trustmark Dealer,Manual,First Owner
Hyundai Grand i10 Magna AT,2017,442476.5201,520000,10510,Petrol,Dealer,Automatic,First Owner
Chevrolet Beat LT Option,2016,194929.9694,239000,41000,Petrol,Dealer,Manual,First Owner
Toyota Fortuner 4x2 AT,2017,2108467.873,2600000,47162,Diesel,Trustmark Dealer,Automatic,First Owner
Maruti S-Cross Zeta DDiS 200 SH,2015,622447.0803,750000,45974,Diesel,Trustmark Dealer,Manual,First Owner
Hyundai i10 Magna,2012,197074.6428,229999,49824,Petrol,Dealer,Manual,First Owner
Audi A6 2.0 TDI Premium Plus,2013,1133992.043,1300000,58500,Diesel,Dealer,Automatic,First Owner
Hyundai Santro GS,2005,66796.40845,80000,56580,Petrol,Dealer,Manual,First Owner
Skoda Laura Ambiente 2.0 TDI CR MT,2012,337406.8712,385000,52000,Diesel,Dealer,Manual,First Owner
